naslov,publisher

DJ Hero,Activision

DJ Hero,Activision Blizzard

Rise of Nations: Rise of Legends,Microsoft Game Studios

Bulletstorm,Electronic Arts

Tony Hawk's American Sk8land,Activision

TOCA Race Driver 3,Codemasters

FRU,Through Games

FTL: Faster Than Light,Subset Games

Madden NFL 07,EA Sports

Fallout: New Vegas,Bethesda Softworks

Dragon Quest V: Hand of the Heavenly Bride,Square Enix

FIFA Soccer 09,EA Sports

Xenoblade Chronicles X,Nintendo

Ace Combat 5: The Unsung War,Namco

X-Men Legends II: Rise of Apocalypse,Activision

Guacamelee! 2,DrinkBox Studios

Resogun,SCEA

SOMA,Frictional Games

DEFCON: Everybody Dies,"Encore Software, Inc."

DEFCON: Everybody Dies,Introversion

Atelier Ryza: Ever Darkness & the Secret Hideout,Koei Tecmo Games

Tom Clancy's The Division 2,Ubisoft

Pinball FX 2: Marvel Pinball - Vengeance and Virtue,Zen Studios

James Bond 007: Everything or Nothing,EA Games

NASCAR: Dirt to Daytona,Atari

NASCAR Thunder 2003,EA Sports

Puyo Pop,THQ

Rayman Advance,Ubisoft

Need for Speed: Shift,EA Games

Saints Row: The Third,THQ

Gran Turismo 5,SCEA

Thimbleweed Park,Terrible Toybox

Tron 2.0,Buena Vista Interactive

Metro Redux,Deep Silver

The Warriors,Rockstar Games

Skate 2,EA Games

NieR: Automata,Square Enix

The Walking Dead: Episode 2 - Starved for Help,Telltale Games

X-Men Legends II: Rise of Apocalypse,Activision

Brothers in Arms: Earned in Blood,Ubisoft

Lego Star Wars II: The Original Trilogy,LucasArts

Pokemon Ultra Moon,Nintendo

Yooka-Laylee and the Impossible Lair,Team17

Moonlighter,11 bit studios

Moonlighter,Digital Sun

Danmaku Unlimited 3,Doragon Entertainment

Lara Croft and the Guardian of Light,Square Enix

Darksiders II,THQ

Borderlands,2K Games

Indigo Prophecy,Atari

Nioh: Complete Edition,Koei Tecmo Games

Half-Minute Hero,XSEED Games

Marvel's Spider-Man: Miles Morales,PlayStation Studios

ICEY,X.D. Network Inc.

Madden NFL 11,Electronic Arts

Grim Fandango Remastered,Double Fine Productions

Age of Empires II: Definitive Edition,Xbox Game Studios

Sega Ages: Fantasy Zone,Sega

Mutant Mudds Deluxe,Renegade Kid

Psi-Ops: The Mindgate Conspiracy,Midway

Thimbleweed Park,Terrible Toybox

The Lord of the Rings: The Battle for Middle-Earth II,EA Games

F1 2019,Codemasters

Assault Android Cactus,Witch Beam

Tom Clancy's Splinter Cell Double Agent,Ubisoft

Hitman 2,Warner Bros. Interactive Entertainment

Def Jam: Fight for NY,EA Games

Classic NES Series: The Legend of Zelda,Nintendo

Battlefield Vietnam,EA Games

Medieval: Total War - Viking Invasion,Activision

NBA 2K3,Sega

Dance Dance Revolution Konamix,Konami

Street Fighter III: 3rd Strike,Capcom

Fallout 4,Bethesda Softworks

Tom Clancy's Ghost Recon 2 Summit Strike,Ubisoft

Baba Is You,Hempuli Oy

Guild Wars Nightfall,NCSOFT

Lara Croft GO,Square Enix

Sayonara Wild Hearts,Annapurna Interactive

Disgaea 2: Cursed Memories,NIS America

Oddworld: Abe's Oddysee - New 'n' Tasty,Oddworld Inhabitants

Oddworld: Abe's Oddysee - New 'n' Tasty,Limited Run Games

Madden NFL 16,EA Sports

Minecraft: PlayStation Vita Edition,SCEA

Minecraft: PlayStation Vita Edition,Mojang AB

Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Gaijin Games

The Binding of Isaac,Edmund McMillen

Enemy Territory: Quake Wars,Activision

Warhawk,SCEA

Valkyrie Profile 2: Silmeria,Square Enix

New Super Mario Bros. U,Nintendo

MLB 08: The Show,SCEA

The Lord of the Rings: The Return of the King,EA Games

Ultra Street Fighter IV,Capcom

FIFA 17,Electronic Arts

FIFA 17,EA Sports

Trine 2,"Frozenbyte, Inc."

UFC Undisputed 2009,THQ

Timespinner,Chucklefish

The Walking Dead: Season Two Episode 5 - No Going Back,Telltale Games

PixelJunk Monsters: Ultimate HD,Double Eleven

Rift,Trion Worlds

Telling Lies,Annapurna Interactive

Zero Escape: Virtue's Last Reward,Aksys Games

Hitman - Episode 2: Sapienza,Square Enix

Project CARS 2,Bandai Namco Games

BioShock: The Collection,2K Games

Swords & Soldiers,Ronimo Games

The Wolf Among Us: Episode 5 - Cry Wolf,Telltale Games

Might & Magic: Clash of Heroes,Ubisoft

Child of Eden,Ubisoft

Shift 2: Unleashed,Electronic Arts

Ape Out,Devolver Digital

The End Is Nigh,Edmund McMillen

The End Is Nigh,Tyler Glaiel 

Sid Meier's Civilization IV: Warlords,2K Games

Hitman,Square Enix

To the Moon,Freebird Games

To the Moon,X.D. Network Inc.

Sega Ages: OutRun,Sega

SpeedRunners,tinyBuild

Resident Evil 4 HD,Capcom

Full Spectrum Warrior,THQ

Battlefield 1942: The Road to Rome,EA Games

NCAA College Basketball 2K3,Sega

Tom Clancy's Ghost Recon,Ubisoft

NASCAR Thunder 2003,EA Sports

Poseidon,Sierra Entertainment

Escape from Monkey Island,LucasArts

Star Wars: Episode I Battle for Naboo,LucasArts

Master of Orion II: Battle at Antares,MicroProse

Control,505 Games

Tom Clancy's Splinter Cell: Blacklist,Ubisoft

FIFA 16,EA Sports

Spiritfarer,Thunder Lotus Games

Genshin Impact,miHoYo

Resident Evil 3,Capcom

GRIS,Devolver Digital

Shovel Knight: King of Cards,Yacht Club Games

FIFA 18,Electronic Arts

Vanquish,Sega

F1 2010,Codemasters

Assassin's Creed Origins,Ubisoft

Shatter (2009),Sidhe Interactive

Vanquish,Sega

Tiger Woods PGA Tour 09,Electronic Arts

Shin Megami Tensei IV: Apocalypse,Atlus

Star Wars: Battlefront II (2005),LucasArts

Darwinia,Cinemaware

Darwinia,Introversion

WWE SmackDown! vs. Raw 2006,THQ

Super Meat Boy,Team Meat

F1 2010,Codemasters

Puzzle Quest: Challenge of the Warlords,D3Publisher

The Legend of Heroes: Trails of Cold Steel III,NIS America

Ni no Kuni: Wrath of the White Witch,Bandai Namco Games

Yoku's Island Express,Villa Gorilla

Dark Souls Remastered,Namco Bandai Games

Dark Souls Remastered,Bandai Namco Games

World of Goo,Tomorrow Corporation

Final Fantasy X / X-2 HD Remaster,Square Enix

Ultimate General: Gettysburg,Game-Labs

Trine 2: Complete Story,"Frozenbyte, Inc."

NHL 13,Electronic Arts

Sound Shapes,SCEA

Space Invaders Extreme,Square Enix

Jak 3,SCEA

Psi-Ops: The Mindgate Conspiracy,Midway

James Bond 007: Everything or Nothing,EA Games

The Sims,EA Games

Onimusha 2: Samurai's Destiny,Capcom

Spy Hunter,Midway

Resident Evil Code: Veronica X,Capcom

ChuChu Rocket!,Sega

Ecco the Dolphin: Defender of the Future,Sega

Bulletstorm,Electronic Arts

Prince of Persia: Warrior Within,Ubisoft

Just Shapes & Beats,Berzerk Studio

Assassin's Creed Origins: The Curse of the Pharaohs,Ubisoft

Borderlands 2: Mr. Torgue's Campaign of Carnage,2K Games

Final Fantasy XV,Square Enix

Final Fantasy XI: Treasures of Aht Urhgan,Square Enix

Two Point Hospital,Sega

Lumines Remastered,Enhance Games

Fortnite,Epic Games

SUPERHOT VR,SUPERHOT

DmC: Devil May Cry Definitive Edition,Capcom

Enter the Gungeon,Devolver Digital

Disgaea 1 Complete,NIS America

Pro Evolution Soccer 2018,Konami

Grim Dawn,Crate Entertainment

Call of Duty: Black Ops 4,Activision

Super Puzzle Fighter II Turbo,Capcom

Battlefield 1943,Electronic Arts

BlazBlue: Chrono Phantasma,Aksys Games

Dungeons & Dragons: Chronicles of Mystara,Capcom

Ghost of Tsushima,Sony Interactive Entertainment

Tetris 99,Nintendo

Final Fantasy XII: The Zodiac Age,Square Enix

Marvel Pinball,Zen Studios

NBA Live 2005,EA Sports

Resident Evil 0,Capcom

Virtua Tennis,THQ

Sega Sports Tennis,Sega

MDK2,Interplay

Kid Icarus: Uprising,Nintendo

Tales of Vesperia: Definitive Edition,Bandai Namco Games

Gunpoint,Tom Francis

DIRT 5,Codemasters

DIRT 5,Deep Silver

Detention,Red Candle Games

Sly 3: Honor Among Thieves,SCEA

Bloodstained: Ritual of the Night,505 Games

Hakuoki: Kyoto Winds,Idea Factory

NHL 2K6,2K Sports

Beyond Good & Evil,Ubisoft

LocoRoco,SCEA

MLB 06: The Show,SCEA

Anno 2070,Ubisoft

SMITE,Hi-Rez Studios

Life is Strange 2: Episode 5 - Wolves,Square Enix

Alien: Isolation,Sega

Donkey Kong Country Returns 3D,Nintendo

Guacamelee! 2,DrinkBox Studios

Unreal Championship,Atari

Halo: Combat Evolved,Microsoft Game Studios

Ultra Street Fighter IV,Capcom

ESPN NBA 2K5,Sega

Darksiders II,THQ

FAR: Lone Sails,Okomotive

Valkyria Chronicles 4,Sega

Overcooked! 2,Team17

Mega Man Legacy Collection,Capcom

FIFA 18,Electronic Arts

Final Fantasy X / X-2 HD Remaster,Square Enix

Battlefield 3: Back to Karkand,Electronic Arts

Bloodstained: Ritual of the Night,505 Games

N+,Microsoft Game Studios

N+,Metanet Software Inc.

Guild Wars 2: Path of Fire,ArenaNet

Fallout 3: Point Lookout,Bethesda Softworks

Baldur's Gate: Dark Alliance,Interplay

No More Heroes,Ubisoft

Fight Night Round 3,EA Sports

Shin Megami Tensei IV,Atlus

Sonic Mania,SegaSoft

Sonic Mania,Sega

Hellblade: Senua's Sacrifice,Ninja Theory

Bayonetta & Vanquish,Sega

Assassin's Creed IV: Black Flag,Ubisoft

Silent Storm,"Encore Software, Inc."

Silent Storm,Encore Software

Need for Speed Underground,Electronic Arts

FIFA Soccer 2004,EA Sports

Command & Conquer: Generals - Zero Hour,EA Games

Homeworld 2,Sierra Entertainment

Wakeboarding Unleashed Featuring Shaun Murray,Activision

Phantasy Star Online Episode I & II,Microsoft Game Studios

Galactic Civilizations,Strategy First

Rygar: The Legendary Adventure,Tecmo

EverQuest: The Shadows of Luclin,Sony Online Entertainment

The Typing of the Dead,Sega

Halo 3: ODST,Microsoft Game Studios

Ghost Trick: Phantom Detective,Capcom

Pure,Disney Interactive Studios

Crash Team Racing: Nitro-Fueled,Activision

Wreckfest,THQ Nordic

PixelJunk Monsters,SCEA

MLB Power Pros,2K Sports

Forgotton Anne,Square Enix

Orcs Must Die!,Robot Entertainment

Tony Hawk's Underground 2,Activision

Persona Q: Shadow of the Labyrinth,Atlus

DiRT,Codemasters

Life is Strange,Square Enix

Comet Crash,Pelfast

Kingdom Hearts III,Square Enix

The Incredible Hulk: Ultimate Destruction,VU Games

Steins;Gate,5pb

Steins;Gate,PQube

Beyond Good & Evil HD,Ubisoft

Fable: The Lost Chapters,Microsoft Game Studios

Resident Evil 5,Capcom

Mega Man 9,Capcom

WHAT THE GOLF?,"Figment, Inc."

WHAT THE GOLF?,Triband

WHAT THE GOLF?,Fig

Call of Duty: Black Ops 4,Activision

Prey: Mooncrash,Bethesda Softworks

Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Gaijin Games

Racing Gears Advance,"Orbital Media, Inc."

Dead or Alive Ultimate,Tecmo

Darkest Dungeon,Red Hook Studios

Street Fighter X Tekken,Capcom

LEGO Star Wars II: The Original Trilogy,LucasArts

Deus Ex: Mankind Divided,Square Enix

Bleed 2,BootdiskRevolution

Call of Duty: Black Ops II,Activision

Madden NFL 11,Electronic Arts

Bushido Blade,SCEA

NBA 2K10,2K Sports

NBA 2K7,2K Sports

Resident Evil HD Remaster,Capcom

Unreal Tournament III,Epic Games

This War of Mine,11 bit studios

Devil Daggers,Sorath

Puyo Puyo Tetris,Sega

Puyo Puyo Tetris,"Sega Of America, Inc."

Dark Souls II: Crown of the Old Iron King,Namco Bandai Games

NBA Ballers,Midway

Genma Onimusha,Capcom

Space Station Silicon Valley,Take-Two Interactive

Persona 4 Arena,Atlus

The Elder Scrolls Online: Summerset,Bethesda Softworks

The Blackwell Epiphany,Wadjet Eye Games

The Lord of the Rings Online: Siege of Mirkwood,Turbine Inc.

Sine Mora,Microsoft Game Studios

One Finger Death Punch 2,Silver Dollar Games

Retro City Rampage DX,Vblank Entertainment Inc.

Out of the Park Baseball 10,Out Of The Park Developments

Need for Speed: Shift,EA Games

Colin McRae Rally 2005,Codemasters

Crash Bandicoot 4: It's About Time,Activision

Tomb Raider: Anniversary,Eidos Interactive

Need for Speed: Most Wanted,Electronic Arts

Bangai-O Spirits,D3Publisher

The Forest,SKS Games

The Forest,Endnight Studios

Tekken Tag Tournament 2: Wii U Edition,Namco Bandai Games

Call of Duty: Modern Warfare Remastered,Activision

Need for Speed: Shift,EA Games

MLB The Show 20,SCEE

MLB The Show 20,Sony Interactive Entertainment

Hearts of Iron II,Paradox Interactive

Pinball Hall of Fame: The Williams Collection,System 3

Final Fantasy XIII,Square Enix

NCAA Football 10,Electronic Arts

ZEN Pinball 2: Portal Pinball,Zen Studios

Star Wars Pinball,Zen Studios

TimeSplitters: Future Perfect,EA Games

FIFA Soccer 11,EA Sports

Project CARS,Bandai Namco Games

Crush,Sega

Total War: WARHAMMER II - Curse of the Vampire Coast,Sega

Guardian Heroes,Sega

Ring Fit Adventure,Nintendo

Borderlands,2K Games

Duck Game,Adult Swim

Need for Speed Underground,Electronic Arts

Freedom Fighters,EA Games

High Heat Major League Baseball 2004,3DO

Icewind Dale II,Interplay

Age of Empires,Microsoft Game Studios

EverQuest II: Echoes of Faydwer,Sony Online Entertainment

Pocket Card Jockey,Nintendo

Dragon Quest Builders,Square Enix

Transistor,Supergiant Games

Bleach: The Blade of Fate,Sega

The Yakuza Remastered Collection,Sega

Lumines: Electronic Symphony,Ubisoft

Prince of Persia: Warrior Within,Ubisoft

Splatoon 2,Nintendo

Dark Souls II: Crown of the Ivory King,Bandai Namco Games

Yoku's Island Express,Villa Gorilla

Everyday Shooter,SCEA

Crackdown,Microsoft Game Studios

EverQuest II,Sony Online Entertainment

Yakuza 6: The Song of Life,Sega

Call of Duty 3,Activision

UFC Undisputed 2009,THQ

Fable: The Lost Chapters,Microsoft Game Studios

NBA 2K19,2K Games

Terraria,Re-Logic

Madden NFL 09,Electronic Arts

Destiny 2,Activision

Final Fantasy XIV Online: A Realm Reborn,Square Enix

MLB 06: The Show,SCEA

Magic: Duels of the Planeswalkers 2014,Microsoft Game Studios

Card Hunter (2013),Blue Manchu

Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,Telltale Games

Madden NFL 17,EA Sports

Just Cause 2,Square Enix

Picross DS,Nintendo

Fight Night Round 3,EA Sports

Spider-Man 2,Activision

Spiritfarer,Thunder Lotus Games

Knights and Bikes,Double Fine Productions

Shovel Knight: King of Cards,Yacht Club Games

Battle Chef Brigade,Adult Swim

The Banner Saga 3,Versus Evil

Steins;Gate,5pb

Steins;Gate,PQube

SteamWorld Dig,Image & Form

Oddworld: Stranger's Wrath HD,Oddworld Inhabitants

NHL 13,Electronic Arts

Madden NFL 13,EA Sports

Fallout: New Vegas - Old World Blues,Bethesda Softworks

Darksiders,THQ

Clubhouse Games,Nintendo

Super Puzzle Fighter II,Capcom

Tom Clancy's Rainbow Six 3: Raven Shield,Ubisoft

Xenosaga Episode I: Der Wille zur Macht,Namco

World of Outlaws: Sprint Cars,Atari

World of Outlaws: Sprint Cars,Infogrames

World of Outlaws: Sprint Cars,Atari SA

Street Fighter Alpha 3,Capcom

Colin McRae Rally 2.0,Codemasters

Combat Flight Simulator 2: WWII Pacific Theater,Microsoft Game Studios

Resistance 3,SCEA

Orcs Must Die! 2,Robot Entertainment

Metro Redux,Deep Silver

Octopath Traveler,Square Enix

Octopath Traveler,Nintendo

BYE-BYE BOXBOY!,Nintendo

Ratchet & Clank Collection,SCEA

Hitman,Square Enix

Picross 3D,Nintendo

Gunstar Super Heroes,Sega

Madden NFL 07,EA Sports

Stretchmo,Nintendo

The Misadventures of P.B. Winterbottom,2K Play

Mega Man Zero / ZX Legacy Collection,Capcom

The Swapper,Curve Studios

Mighty Flip Champs!,WayForward

Persona 2: Eternal Punishment,Atlus Co.

Prey (2006),2K Games

LEGO Marvel Super Heroes,Warner Bros. Interactive Entertainment

Metal Gear Rising: Revengeance,Konami

Tony Hawk's Underground 2,Activision

Castlevania: Lords of Shadow,Konami

Sine Mora,Digital Reality

Tales of Monkey Island Chapter 5: Rise of the Pirate God,Telltale Games

Crisis Core: Final Fantasy VII,Square Enix

Starseed Pilgrim,Droqen

Age of Conan: Rise of the Godslayer,Eidos Interactive

Age of Conan: Rise of the Godslayer,Funcom

Trine,Nobilis

Darksiders,THQ

MLB 08: The Show,SCEA

Alan Wake,Remedy Entertainment

OlliOlli: Switch Stance,Gambitious

Titanfall,Electronic Arts

Karaoke Revolution,Konami

Hitman 2: Silent Assassin,Eidos Interactive

NBA Live 2003,Electronic Arts

Tiger Woods PGA Tour 2002,EA Sports

Monaco: What's Yours Is Mine,Pocketwatch Games

Indigo Prophecy,Atari

Deus Ex: Mankind Divided,Square Enix

Trials Rising,Ubisoft

Castle Crashers Remastered,The Behemoth

Transistor,Supergiant Games

Pac-Man Championship Edition,Namco Bandai Games

Prince of Persia: Warrior Within,Ubisoft

Moonlighter,11 bit studios

Moonlighter,Merge Games

Moonlighter,Digital Sun

Mutant Mudds: Super Challenge,Renegade Kid

Child of Light,Ubisoft

Rogue Galaxy,SCEA

inFamous 2,SCEA

Nintendogs: Chihuahua & Friends,Nintendo

Tekken Tag Tournament 2,Namco Bandai Games

No Man's Sky Beyond,Hello Games

Yakuza 5,Sega

DiRT,Codemasters

FIFA Soccer 08,EA Sports

Creaks,Amanita Design

Zero Escape: Zero Time Dilemma,Aksys Games

Outland,Ubisoft

Skylanders Swap Force,Activision

GRIS,Devolver Digital

Call of Duty: Advanced Warfare,Activision

Super Mega Baseball 3,Metalhead Software

Sayonara Wild Hearts,Annapurna Interactive

WarioWare: Smooth Moves,Nintendo

Tiger Woods PGA Tour 06,EA Sports

The Sexy Brutale,Tequila Works

MLB 14: The Show,SCEA

Helldivers,PlayStation Mobile Inc.

Project CARS,Bandai Namco Games

Worldwide Soccer Manager 2009,Sega

Call of Duty: World at War,Activision

Call of Duty: World at War,Activision Blizzard

Torchlight,"Encore Software, Inc."

Torchlight,Perfect World Entertainment

FIFA 19,Electronic Arts

Ape Out,Devolver Digital

Mortal Kombat X,Warner Bros. Interactive Entertainment

Valdis Story: Abyssal City,Endless Fluff

Art Style: PiCTOBiTS,Nintendo

Sonic Advance 2,Sega

Rayman 3,Ubisoft

NCAA College Basketball 2K3,Sega

Steel Battalion,Capcom

XGIII: Extreme G Racing,Acclaim

FIFA 2001,Electronic Arts

Crimson Skies,Microsoft Game Studios

Professor Layton and the Last Specter,Nintendo

NBA 2K15,2K Sports

Katana ZERO,Adult Swim

Katana ZERO,Devolver Digital

Danganronpa 1-2 Reload,NIS America

LIMBO,PLAYDEAD

Nintendogs: Lab & Friends,Nintendo

Xenoblade Chronicles 2,Nintendo

Need for Speed Most Wanted,Electronic Arts

WRC 9 FIA World Rally Championship,Nacon

Madden NFL 16,EA Sports

RACE 07: Official WTCC Game,Viva Media

RACE 07: Official WTCC Game,"Viva Media, LLC"

Freedom Planet,GalaxyTrail

Dark Souls Remastered,Namco Bandai Games

2010 FIFA World Cup South Africa,EA Sports

FIFA Soccer 10,Electronic Arts

Gravity Rush,SCEA

Pokemon Omega Ruby,Nintendo

Horizon Zero Dawn: The Frozen Wilds,Sony Interactive Entertainment

Ninja Gaiden: Dragon Sword,Tecmo

Rhythm Heaven Fever,Nintendo

Ms. 'Splosion Man,Twisted Pixel Games

Detention,Coconut Island Games

SUPERHOT,SUPERHOT

SUPERHOT,SUPERHOT

CastleStorm,Zen Studios

EverQuest II: Rise of Kunark,Sony Online Entertainment

Ninja Gaiden Sigma 2,Tecmo

Dragon Quest Heroes: Rocket Slime,Square Enix

Sleeping Dogs,Square Enix

Contra 4,Konami

Street Fighter: 30th Anniversary Collection,Capcom

Rhythm Heaven,Nintendo

Collection of Mana,Square Enix

Path of Exile: The Fall of Oriath,Grinding Gear Games

The Legend of Heroes: Trails in the Sky the 3rd,XSEED Games

SteamWorld Heist,Image & Form

Dark Age of Camelot: Catacombs,Mythic Entertainment

ABZU,505 Games

ABZU,505  Games

The Messenger,Sabotage Studio

Nintendogs: Dalmatian & Friends,Nintendo

Little Nightmares,Bandai Namco Games

Stacking,THQ

Overcooked! 2: Surf 'n' Turf,Team17

Spore Creature Creator,Electronic Arts

Final Fantasy V Advance,Nintendo

Colin McRae Rally 2005,Codemasters

James Bond 007: Everything or Nothing,EA Games

The Sims,EA Games

All-Star Baseball 2003,Acclaim

F1 2001,Electronic Arts

Looney Tunes: Space Race,Infogrames

Tom Clancy's Splinter Cell: Conviction,Ubisoft

Luftrausers,Devolver Digital

And Yet It Moves,Broken Rules

Tribes: Vengeance,VU Games

Hitman: Absolution,Square Enix

Super Puzzle Fighter II Turbo HD Remix,Capcom

Hitman: Blood Money,Eidos Interactive

Kirby Mass Attack,Nintendo

Call of Duty: Black Ops II,Activision

Guitar Hero III: Legends of Rock,Activision

Guitar Hero III: Legends of Rock,RedOctane

Alan Wake,Microsoft Game Studios

Sega Ages: Sonic the Hedgehog 2,Sega

Gorogoa,Annapurna Interactive

Tales From The Borderlands: Episode 3 - Catch A Ride,Telltale Games

L.A. Noire: The Complete Edition,Rockstar Games

Brutal Legend,EA Games

Dragon Quest Wars,Square Enix

VVVVVV,Nicalis

Katana ZERO,Devolver Digital

GTR Evolution,Take-Two Interactive

Marvel: Ultimate Alliance,Activision

Killer Queen Black,Liquid Bit

Killer Queen Black,BumbleBear

Life is Strange: Episode 5 - Polarized,Square Enix

Battlefield 3: Back to Karkand,Electronic Arts

Bully: Scholarship Edition,Rockstar Games

Def Jam: Fight for NY,EA Games

SteamWorld Dig,Image & Form

Broforce,Devolver Digital

Disgaea 2: Dark Hero Days,NIS America

Dust: An Elysian Tail,Microsoft Game Studios

Battlefield: Bad Company,EA Games

A Plague Tale: Innocence,Focus Home Interactive

Splasher,Splashteam

Spelunky,Mossmouth

NCAA Football 09,Electronic Arts

Star Wars: Battlefront II (2005),LucasArts

Wipeout Fusion,Bam Entertainment

Independence War 2: Edge of Chaos,Infogrames

Myst III: Exile,Ubisoft

Final Fantasy Tactics,SCEA

Ace Combat 2,Namco

Superbrothers: Sword & Sworcery EP,Superbrothers

Spyro Reignited Trilogy,Activision

Sid Meier's Civilization IV: Colonization,2K Games

Pro Evolution Soccer 2008,Konami

Steel Division: Normandy 44,Paradox Interactive

Hearts of Iron IV,Paradox Interactive

Nintendogs: Dachshund & Friends,Nintendo

Dynasty Warriors 8: Xtreme Legends - Definitive Edition,Koei Tecmo Games

Skylanders Swap Force,Activision

Dark Souls II: Crown of the Sunken King,Bandai Namco Games

Europa Universalis III,Paradox Interactive

FIFA 19,Electronic Arts

Rhythm Heaven Megamix,Nintendo

Duskers,Misfits Attic

F1 2011,Codemasters

Severed,DrinkBox Studios

Prince of Persia: Warrior Within,Ubisoft

Door Kickers,KillHouse Games

Counter-Strike: Global Offensive,Valve Software

Resident Evil 7: biohazard,Capcom

Owlboy,Soedesco

OlliOlli2: XL Edition,Team17

Frequency,SCEA

Call of Duty: World at War,Activision

Iconoclasts,Bifrost Entertainment

Flipping Death,Rising Star Games

Flipping Death,Zoink!

Yoku's Island Express,Villa Gorilla

Warhammer: Vermintide 2,Fatshark AB

MLB 07: The Show,SCEA

Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,Telltale Games

Worms W.M.D,Team17

Theatrhythm Final Fantasy: Curtain Call,Square Enix

Boktai: The Sun Is in Your Hand,Konami

Harvest Moon: Magical Melody,Natsume

Pokemon Platinum Version,Nintendo

Assassin's Creed Odyssey,Ubisoft

Donkey Kong Country: Tropical Freeze,Nintendo

Valkyria Chronicles II,Sega

No More Heroes 2: Desperate Struggle,XSEED Games

One Step From Eden,Thomas Moon Kang

Code:Realize - Guardian of Rebirth,Aksys Games

Reventure,Pixelatto

F1 2018,Codemasters

F1 2018,Deep Silver

Batman: The Telltale Series - Episode 2: Children of Arkham,Telltale Games

ZEN Pinball 2: The Walking Dead,Zen Studios

BlazBlue: Continuum Shift Extend,Aksys Games

Odin Sphere,Atlus Co.

Tony Hawk's Underground 2 Remix,Activision

Maximo vs Army of Zin,Capcom

Metal Arms: Glitch in the System,VU Games

ESPN College Hoops,Sega

High Heat Major League Baseball 2004,3DO

MechWarrior 4: Mercenaries,Microsoft Game Studios

F1 2001,Electronic Arts

Breath of Fire IV,Capcom

Metal Gear Solid,Microsoft Game Studios

Mario Kart 64,Nintendo

"Invisible, Inc.",Klei Entertainment

WarioWare D.I.Y.,Nintendo

Wipeout Pulse,SCEA

SOMA,Frictional Games

Dark Souls II: Crown of the Ivory King,Bandai Namco Games

Defense Grid: The Awakening,Hidden Path Entertainment

Sega Genesis Collection,Sega

Gears of War: Ultimate Edition,Microsoft Game Studios

Tomb Raider: Legend,Eidos Interactive

Tom Clancy's Rainbow Six Vegas 2,Ubisoft

Red Faction: Guerrilla,THQ

X-Men Legends II: Rise of Apocalypse,Activision

Yoku's Island Express,Villa Gorilla

Command & Conquer Remastered Collection,Electronic Arts

Freedom Finger,Wide Right Interactive

The Book of Unwritten Tales,The Adventure Company

The Book of Unwritten Tales,Lace Mamba Global

Ys: Memories of Celceta,XSEED Games

Laser League,505 Games

Super Hydorah,Abylight

BioShock 2: Minerva's Den,2K Games

Street Fighter V: Champion Edition,Capcom

Hypnospace Outlaw,No More Robots

KORG DS-10 Synthesizer,XSEED Games

Super Robot Taisen: Original Generation 2,Atlus Co.

Watch Dogs 2,Ubisoft

Hand of Fate 2,Defiant Development

TOCA Race Driver 3,Codemasters

Dance Central,MTV Games

The Outer Worlds,Obsidian Entertainment

The Outer Worlds,Private Division

FIFA 16,EA Sports

F1 2011,Codemasters

Capitalism II,Ubisoft

Rally Trophy,JoWooD Entertainment AG

GT Advance Championship Racing,THQ

Ridge Racer 64,Nintendo

Pokemon Alpha Sapphire,Nintendo

Nuclear Throne,Vlambeer

Assassin's Creed Valhalla,Ubisoft

Rock Band,MTV Games

Stealth Inc 2: A Game of Clones,Curve Digital

Wreckfest,THQ Nordic

Dark Souls III: The Ringed City,Bandai Namco Games

Dawn of Discovery,Ubisoft

Pinball FX3,Zen Studios

Hitman 2,Warner Bros. Interactive Entertainment

Hot Shots Golf: Open Tee 2,SCEA

Streets of Rage 4,DotEmu

