naslov,platforma 
Dragon Quest VIII: Journey of the Cursed King,PlayStation 2
Heroes of Hammerwatch - Ultimate Edition,Switch
Midnight Club 3: DUB Edition Remix,PlayStation 2
NHL 08,Xbox 360
NHL 08,PlayStation 2
NHL 08,PlayStation 3
Ni no Kuni: Wrath of the White Witch,PlayStation 3
The Wolf Among Us: Episode 1 - Faith,PlayStation 3
The Wolf Among Us: Episode 1 - Faith,PC
The Wolf Among Us: Episode 1 - Faith,Xbox 360
Deep Rock Galactic,PC
UFC Undisputed 2010,PlayStation 3
UFC Undisputed 2010,Xbox 360
Plants vs. Zombies,PlayStation 3
Plants vs. Zombies,PC
Plants vs. Zombies,PlayStation Vita
Plants vs. Zombies,Xbox 360
NBA Live 2004,Xbox
NBA Live 2004,PlayStation 2
NHL 2004,Xbox
NHL 2004,PlayStation 2
Hitman 2: Silent Assassin,PlayStation 2
Falcon 4.0,PC
Tom Clancy's Rainbow Six,PC
Oddworld: Abe's Oddysee,PlayStation
Madden NFL 2005,PC
Legend of Grimrock II,PC
Madden NFL 09,PlayStation 3
Madden NFL 09,Xbox 360
Guitar Hero III: Legends of Rock,Xbox 360
Guitar Hero III: Legends of Rock,PlayStation 3
NHL 20,Xbox One
The Sly Collection,PlayStation 3
Tatsunoko vs. Capcom: Ultimate All-Stars,Wii
Thronebreaker: The Witcher Tales,Xbox One
Thronebreaker: The Witcher Tales,PC
Thronebreaker: The Witcher Tales,PlayStation 4
Thronebreaker: The Witcher Tales,Switch
"Sam & Max Episode 205: What's New, Beelzebub?",PC
Daxter,PSP
Dragon Age: Inquisition,PC
Dragon Age: Inquisition,PlayStation 4
Dragon Age: Inquisition,Xbox 360
Dragon Age: Inquisition,Xbox One
Tales from the Borderlands: A Telltale Game Series,PC
Tales from the Borderlands: A Telltale Game Series,PlayStation 3
Tales from the Borderlands: A Telltale Game Series,PlayStation 4
Tales from the Borderlands: A Telltale Game Series,Xbox 360
Tales from the Borderlands: A Telltale Game Series,Xbox One
Hearthstone: Heroes of Warcraft - Whispers of the Old Gods,PC
MLB 08: The Show,PlayStation 3
Unreal Championship 2: The Liandri Conflict,Xbox
The Outer Worlds,PlayStation 4
The Outer Worlds,Switch
The Outer Worlds,Xbox One
Firewatch,Xbox One
Firewatch,PlayStation 4
Firewatch,Switch
Battlefield 4,PlayStation 4
Battlefield 4,PlayStation 3
Battlefield 4,Wii U
Battlefield 4,Xbox 360
Battlefield 4,Xbox One
Wasteland 3,PC
Wasteland 3,Xbox One
Tom Clancy's Rainbow Six: Vegas,PC
Tom Clancy's Rainbow Six: Vegas,Xbox 360
Super Street Fighter IV: 3D Edition,3DS
Super Street Fighter IV: 3D Edition,Xbox 360
City of Heroes,PC
Mass Effect 3: Special Edition,Wii U
Mass Effect 3: Special Edition,PlayStation 3
Mass Effect 3: Special Edition,Xbox 360
Castle Crashers,PlayStation 3
Castle Crashers,Xbox 360
Pokemon Pearl Version,DS
Blaster Master Zero II,Switch
Blaster Master Zero II,PlayStation 4
Lara Croft and the Guardian of Light,Xbox 360
Lara Croft and the Guardian of Light,PC
Lara Croft and the Guardian of Light,PlayStation 3
BlazBlue: Chrono Phantasma Extend,PC
BlazBlue: Chrono Phantasma Extend,PlayStation 4
BlazBlue: Chrono Phantasma Extend,PlayStation Vita
BlazBlue: Chrono Phantasma Extend,Xbox One
SWAT 4,PC
Midnight Club II,PlayStation 2
Aggressive Inline,Xbox
Clive Barker's Undying,PC
Rollcage Stage II,PlayStation
EverQuest,PC
F-Zero X,Nintendo 64
Final Fantasy XII: The Zodiac Age,Switch
Final Fantasy XII: The Zodiac Age,PlayStation 4
Final Fantasy XII: The Zodiac Age,Xbox One
Trials Evolution: Origin of Pain,Xbox 360
Tom Clancy's Splinter Cell Double Agent,Xbox 360
Tom Clancy's Splinter Cell Double Agent,PlayStation 3
Monster Train,PC
Pillars of Eternity: Complete Edition,PlayStation 4
Pillars of Eternity: Complete Edition,Xbox One
Bravely Default,3DS
Guacamelee! 2,Xbox One
Guacamelee! 2,PlayStation 4
Guacamelee! 2,Switch
DOOM,PlayStation 4
DOOM,Switch
DOOM,Xbox One
Slay the Spire,Switch
Slay the Spire,PC
Slay the Spire,PlayStation 4
Slay the Spire,Xbox One
Far Cry Instincts,Xbox
"Warhammer 40,000: Dawn of War II",PC
Risk of Rain 2,PC
Risk of Rain 2,Switch
Risk of Rain 2,Xbox One
Call of Duty: Black Ops 4,Xbox One
Call of Duty: Black Ops 4,PlayStation 4
Paradigm,PC
NBA 2K14,PlayStation 4
NBA 2K14,PC
NBA 2K14,PlayStation 3
NBA 2K14,Xbox 360
NBA 2K14,Xbox One
Battlefield 3,PlayStation 3
Battlefield 3,Xbox 360
Tekken Tag Tournament,PlayStation 2
Onimusha 3: Demon Siege,PlayStation 2
Red Faction: Guerrilla,PlayStation 3
Red Faction: Guerrilla,Xbox 360
Bug Fables: The Everlasting Sapling,Switch
Bug Fables: The Everlasting Sapling,PlayStation 4
Bug Fables: The Everlasting Sapling,Xbox One
Final Fantasy X-2,PlayStation 2
Night in the Woods,Switch
Night in the Woods,PlayStation 4
Night in the Woods,Xbox One
Battlerite,PC
Command & Conquer 3: Tiberium Wars,PC
Madden NFL 10,Xbox 360
Madden NFL 10,PlayStation 2
Madden NFL 10,PlayStation 3
Batman: Arkham Knight,Xbox One
Batman: Arkham Knight,PlayStation 4
Assassin's Creed III,Wii U
Assassin's Creed III,PlayStation 3
Assassin's Creed III,Xbox 360
Astro Boy: Omega Factor,Game Boy Advance
BlazBlue: Continuum Shift,Xbox 360
Life is Strange,PlayStation 4
Life is Strange,PC
Life is Strange,Xbox One
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PC
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PlayStation 3
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PlayStation 4
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,PlayStation Vita
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Wii U
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,Xbox 360
Hotline Miami,PC
Hotline Miami,PlayStation 4
Hotline Miami,PlayStation Vita
Guitar Hero World Tour,Xbox 360
Guitar Hero World Tour,PlayStation 3
Final Fantasy XV: Windows Edition,PC
Final Fantasy XV: Windows Edition,Stadia
Final Fantasy XV: Windows Edition,Xbox One
Nioh: Bloodshed's End,PlayStation 4
Out of the Park Baseball 13,PC
NHL 2004,GameCube
NHL 2004,PlayStation 2
World Series Baseball,Xbox
Wizardry 8,PC
Aliens Versus Predator 2,PC
Operation Flashpoint: Cold War Crisis,PC
Rumble Racing,PlayStation 2
Metal Slug X,PlayStation
Metal Slug X,PC
Metal Slug X,PlayStation 4
Metal Slug X,Switch
Metal Slug X,Xbox One
Tropico,PC
Giants: Citizen Kabuto,PC
MotoGP 3: Ultimate Racing Technology,Xbox
Rocket League,PlayStation 4
Rocket League,Switch
Rocket League,Xbox One
Dead or Alive 4,Xbox 360
NASCAR SimRacing,PC
Devotion,PC
Pure,Xbox 360
Pure,PlayStation 3
Crysis 2,PlayStation 3
Crysis 2,Xbox 360
The Lord of the Rings Online: Mines of Moria,PC
SoulCalibur IV,PlayStation 3
Kingdom Hearts,PlayStation 2
The Binding of Isaac: Afterbirth,PC
The Binding of Isaac: Afterbirth,Xbox One
Hotline Miami,PlayStation Vita
Hotline Miami,PlayStation 3
Hotline Miami,PlayStation 4
Amnesia: The Dark Descent,PC
SoulCalibur IV,Xbox 360
Project Gotham Racing,Xbox
Huntdown,PC
Huntdown,Switch
Huntdown,Xbox One
Fable,Xbox
Forza Horizon,Xbox 360
Chaos Reborn,PC
Assassin's Creed Origins,Xbox One
Assassin's Creed Origins,PlayStation 4
Assassin's Creed Valhalla,Xbox Series X
Assassin's Creed Valhalla,PlayStation 4
Assassin's Creed Valhalla,PlayStation 5
Assassin's Creed Valhalla,Stadia
Assassin's Creed Valhalla,Xbox One
GTR: FIA GT Racing Game,PC
Final Fantasy IX,PlayStation 4
Final Fantasy IX,PC
Final Fantasy IX,Switch
Final Fantasy IX,Xbox One
The Witcher 3: Wild Hunt - Complete Edition,Switch
The Witcher 3: Wild Hunt - Complete Edition,PlayStation 4
The Witcher 3: Wild Hunt - Complete Edition,Xbox One
Shadow Hearts: Covenant,PlayStation 2
Rogue Legacy,PlayStation Vita
Rogue Legacy,PC
Rogue Legacy,PlayStation 3
Rogue Legacy,PlayStation 4
Rogue Legacy,Switch
Rogue Legacy,Xbox One
Control,PC
Control,Xbox One
Madden NFL 10,PlayStation 3
Madden NFL 10,PlayStation 2
Madden NFL 10,Xbox 360
Syphon Filter: Logan's Shadow,PSP
Football Manager 2011,PC
Dust: An Elysian Tail,PC
Dust: An Elysian Tail,PlayStation 4
Dust: An Elysian Tail,Switch
Dust: An Elysian Tail,Xbox 360
NBA Live 2005,Xbox
NBA Live 2005,PlayStation 2
NHL 2004,PlayStation 2
NFL 2K2,PlayStation 2
South Park: The Stick of Truth,PC
South Park: The Stick of Truth,PlayStation 4
South Park: The Stick of Truth,Switch
South Park: The Stick of Truth,Xbox 360
South Park: The Stick of Truth,Xbox One
Marvel's Spider-Man: Miles Morales,PlayStation 5
Monkey Island 2 Special Edition: LeChuck's Revenge,Xbox 360
Monkey Island 2 Special Edition: LeChuck's Revenge,iPhone/iPad
Monkey Island 2 Special Edition: LeChuck's Revenge,PC
Monkey Island 2 Special Edition: LeChuck's Revenge,PlayStation 3
Assassin's Creed III,PlayStation 3
Assassin's Creed III,Wii U
Assassin's Creed III,Xbox 360
Fire Emblem: The Sacred Stones,Game Boy Advance
Dragon Age: Inquisition,Xbox One
Dragon Age: Inquisition,PlayStation 3
Dragon Age: Inquisition,PlayStation 4
Dragon Age: Inquisition,Xbox 360
Dark Souls: Prepare to Die Edition,PC
The Binding of Isaac: Afterbirth +,Switch
The Binding of Isaac: Afterbirth +,PlayStation 4
The Binding of Isaac: Afterbirth +,Xbox One
NBA 2K13,Wii U
NBA 2K13,PC
NBA 2K13,PlayStation 3
NBA 2K13,Xbox 360
Shadow Tactics: Blades of the Shogun,PC
Shadow Tactics: Blades of the Shogun,Xbox One
Super Smash Bros. for Nintendo 3DS,3DS
Medieval II: Total War Kingdoms,PC
Call of Duty: World at War,PlayStation 3
Call of Duty: World at War,Xbox 360
Assassin's Creed Valhalla,PC
Assassin's Creed Valhalla,PlayStation 5
Assassin's Creed Valhalla,Stadia
Assassin's Creed Valhalla,Xbox One
Assassin's Creed Valhalla,Xbox Series X
Dragon Quest Builders 2,PC
Dragon Quest Builders 2,Switch
The Outer Worlds,Xbox One
The Outer Worlds,PlayStation 4
The Outer Worlds,Switch
VA-11 Hall-A: Cyberpunk Bartender Action,PlayStation 4
VA-11 Hall-A: Cyberpunk Bartender Action,PlayStation Vita
VA-11 Hall-A: Cyberpunk Bartender Action,Switch
DJMax Respect,PlayStation 4
Pro Evolution Soccer 2017,PlayStation 4
Pro Evolution Soccer 2017,PC
Pro Evolution Soccer 2017,PlayStation 3
Pro Evolution Soccer 2017,Xbox 360
Pro Evolution Soccer 2017,Xbox One
Resogun: Defenders,PlayStation 4
Shovel Knight,PC
Shovel Knight,PlayStation 3
Shovel Knight,PlayStation 4
Shovel Knight,PlayStation Vita
Shovel Knight,Wii U
Shovel Knight,Xbox One
Final Fantasy X / X-2 HD Remaster,PlayStation 3
Final Fantasy X / X-2 HD Remaster,PlayStation 4
Final Fantasy X / X-2 HD Remaster,PlayStation Vita
Final Fantasy X / X-2 HD Remaster,Switch
Final Fantasy X / X-2 HD Remaster,Xbox One
DmC: Devil May Cry,PC
DmC: Devil May Cry,Xbox 360
The Legend of Zelda: Four Swords Anniversary Edition,DS
Maboshi's Arcade,Wii
Peggle Deluxe,PC
Viewtiful Joe 2,PlayStation 2
Tony Hawk's Underground,Xbox
WWE SmackDown! Here Comes the Pain,PlayStation 2
Tony Hawk's Pro Skater 4,Game Boy Advance
Hot Shots Golf 3,PlayStation 2
Monopoly Tycoon,PC
FIFA 2001 Major League Soccer,PlayStation
Indigo Prophecy,PC
Prince of Persia: The Two Thrones,PC
Prince of Persia: The Two Thrones,PlayStation 3
Sam & Max Episode 204: Chariots of the Dogs,PC
Marvel vs. Capcom 3: Fate of Two Worlds,Xbox 360
Assetto Corsa,PC
Assetto Corsa,Xbox One
Ys VIII: Lacrimosa of DANA,PlayStation 4
Ys VIII: Lacrimosa of DANA,PlayStation Vita
Ys VIII: Lacrimosa of DANA,Switch
Machinarium,PC
Machinarium,PlayStation 3
Machinarium,PlayStation 4
Machinarium,PlayStation Vita
Machinarium,Switch
Machinarium,Xbox One
Nioh 2,PlayStation 4
Frozen Synapse,PC
Champions of Norrath,PlayStation 2
F1 2016,Xbox One
F1 2016,PC
F1 2016,PlayStation 4
Valkyria Chronicles,PC
Valkyria Chronicles,Switch
Freelancer,PC
Guitar Hero 5,Xbox 360
Guitar Hero 5,PlayStation 3
Bayonetta & Vanquish,PlayStation 4
Zenzizenzic,PC
NBA Jam: On Fire Edition,Xbox 360
Galactic Civilizations III: Crusade,PC
The Wolf Among Us: Episode 1 - Faith,PC
The Wolf Among Us: Episode 1 - Faith,PlayStation 3
The Wolf Among Us: Episode 1 - Faith,Xbox 360
Final Fantasy IV Advance,Game Boy Advance
SteamWorld Dig 2,PC
SteamWorld Dig 2,PlayStation 4
SteamWorld Dig 2,PlayStation Vita
SteamWorld Dig 2,Stadia
SteamWorld Dig 2,Switch
SteamWorld Dig 2,Xbox One
Robo Recall,PC
Super Stardust HD,PlayStation 3
Sine Mora,PlayStation Vita
Sine Mora,PC
Sine Mora,PlayStation 3
Sine Mora,Xbox 360
Super Paper Mario,Wii
Mega Man Legacy Collection,PC
Mega Man Legacy Collection,PlayStation 4
Mega Man Legacy Collection,Switch
Mega Man Legacy Collection,Xbox One
Star Wars: Rogue Squadron,Nintendo 64
"Warhammer 40,000: Dawn of War II - Chaos Rising",PC
Two Point Hospital,Switch
Two Point Hospital,PlayStation 4
Two Point Hospital,Xbox One
Far Cry 2,PC
Far Cry 2,Xbox 360
Professor Layton and the Curious Village,DS
The Walking Dead: Episode 3 - Long Road Ahead,PC
The Walking Dead: Episode 3 - Long Road Ahead,PlayStation 3
The Walking Dead: Episode 3 - Long Road Ahead,Xbox 360
AudioSurf,PC
Final Fantasy X / X-2 HD Remaster,Xbox One
Final Fantasy X / X-2 HD Remaster,PlayStation 3
Final Fantasy X / X-2 HD Remaster,PlayStation 4
Final Fantasy X / X-2 HD Remaster,PlayStation Vita
Final Fantasy X / X-2 HD Remaster,Switch
Yakuza 0,PlayStation 4
Yakuza 0,Xbox One
Super Mario 64 DS,DS
Dead Rising,Xbox 360
Dead Rising,PlayStation 4
Dead Rising,Xbox One
MLB The Show 17,PlayStation 4
BattleBlock Theater,PC
Dragon Ball FighterZ,PC
Dragon Ball FighterZ,Switch
Dragon Ball FighterZ,Xbox One
Star Wars: Knights of the Old Republic II - The Sith Lords,PC
Destiny 2,PlayStation 4
Destiny 2,PlayStation 5
Destiny 2,Xbox One
Destiny 2,Xbox Series X
AMID EVIL,PC
Mario Kart 7,3DS
Prince of Persia: The Two Thrones,Xbox
Halo: The Master Chief Collection,Xbox One
Batman: The Enemy Within - Episode 5: Same Stitch,PC
Batman: The Enemy Within - Episode 5: Same Stitch,PlayStation 4
Batman: The Enemy Within - Episode 5: Same Stitch,Xbox One
NCAA Football 11,PlayStation 3
NCAA Football 11,Xbox 360
MVP Baseball 2005,PC
Darksiders II,Wii U
Darksiders II,PlayStation 3
Darksiders II,Xbox 360
Guitar Hero: Metallica,Wii
Guitar Hero: Metallica,PlayStation 3
Guitar Hero: Metallica,Xbox 360
Fire Emblem: Path of Radiance,GameCube
Final Fantasy XI,PlayStation 2
Final Fantasy XI,Xbox 360
Full Metal Furies,PC
Full Metal Furies,Xbox One
Super Mega Baseball,PlayStation 4
Super Mega Baseball,PlayStation 3
Super Mega Baseball,Xbox One
NASCAR Thunder 2004,Xbox
NASCAR Thunder 2004,PlayStation 2
DDRMAX: Dance Dance Revolution,PlayStation 2
NASCAR Thunder 2002,PlayStation 2
NHL 2001,PlayStation 2
F355 Challenge,Dreamcast
The Elder Scrolls III: Bloodmoon,PC
Boom Blox,Wii
Madden NFL 08,Xbox 360
Madden NFL 08,PlayStation 2
Madden NFL 08,PlayStation 3
Pro Evolution Soccer 2016,Xbox One
Pro Evolution Soccer 2016,PlayStation 3
Pro Evolution Soccer 2016,PlayStation 4
Pro Evolution Soccer 2016,Xbox 360
Far Cry 2,PlayStation 3
Far Cry 2,Xbox 360
Rogue Legacy,PC
Rogue Legacy,PlayStation 3
Rogue Legacy,PlayStation 4
Rogue Legacy,PlayStation Vita
Rogue Legacy,Switch
Rogue Legacy,Xbox One
BattleBlock Theater,Xbox 360
Dragon Quest Builders 2,Switch
Dragon Quest Builders 2,PlayStation 4
Castlevania: Lords of Shadow,PlayStation 3
Pokemon Diamond Version,DS
Virtua Fighter 5,PlayStation 3
Ikaruga,GameCube
Ikaruga,PlayStation 4
Ikaruga,Switch
Ikaruga,Xbox 360
Yakuza Kiwami 2,PlayStation 4
Yakuza Kiwami 2,Xbox One
Thief: Deadly Shadows,PC
Borderlands: The Secret Armory of General Knoxx,Xbox 360
Borderlands: The Secret Armory of General Knoxx,PlayStation 3
West of Loathing,Switch
West of Loathing,Stadia
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,PlayStation 3
UFC Undisputed 3,Xbox 360
South Park: The Stick of Truth,PlayStation 3
South Park: The Stick of Truth,PlayStation 4
South Park: The Stick of Truth,Switch
South Park: The Stick of Truth,Xbox 360
South Park: The Stick of Truth,Xbox One
The Wolf Among Us: Episode 5 - Cry Wolf,Xbox 360
The Wolf Among Us: Episode 5 - Cry Wolf,PC
The Wolf Among Us: Episode 5 - Cry Wolf,PlayStation 3
Rogue Legacy,PlayStation 4
Rogue Legacy,PC
Rogue Legacy,PlayStation 3
Rogue Legacy,PlayStation Vita
Rogue Legacy,Switch
Rogue Legacy,Xbox One
Brothers: A Tale of Two Sons,PlayStation 3
Brothers: A Tale of Two Sons,PC
Brothers: A Tale of Two Sons,PlayStation 4
Brothers: A Tale of Two Sons,Switch
Brothers: A Tale of Two Sons,Xbox 360
Brothers: A Tale of Two Sons,Xbox One
Football Manager 2014,PC
Crash Bandicoot 4: It's About Time,PlayStation 4
Age of Wonders: Planetfall,Xbox One
Age of Wonders: Planetfall,PlayStation 4
System Shock: Enhanced Edition,PC
Metal Gear Solid: The Twin Snakes,GameCube
EverQuest: Gates of Discord,PC
The Lord of the Rings: The Return of the King,PlayStation 2
The Sims,GameCube
The Sims,PlayStation 2
NASCAR Thunder 2003,GameCube
NASCAR Thunder 2003,PlayStation 2
FIFA 2001 Major League Soccer,PC
Fight Night 2004,Xbox
Wipeout: Omega Collection,PlayStation 4
Tangle Tower,Switch
Tangle Tower,PC
Mortal Kombat XL,PlayStation 4
Mortal Kombat XL,Xbox One
Lego Star Wars II: The Original Trilogy,Xbox
Lego Star Wars II: The Original Trilogy,PlayStation 2
Lego Star Wars II: The Original Trilogy,Xbox 360
Sid Meier's Civilization V: Brave New World,PC
The Warriors,Xbox
The Warriors,PlayStation 4
Red Faction: Guerrilla,Xbox 360
Red Faction: Guerrilla,PlayStation 3
Geometry Wars 3: Dimensions,PlayStation 4
Geometry Wars 3: Dimensions,PC
Geometry Wars 3: Dimensions,PlayStation 3
Geometry Wars 3: Dimensions,Xbox 360
Geometry Wars 3: Dimensions,Xbox One
Ratchet & Clank,PlayStation 4
MLB The Show 16,PlayStation 4
Valkyria Chronicles 4,PlayStation 4
Valkyria Chronicles 4,Switch
Valkyria Chronicles 4,Xbox One
Final Fantasy IV,DS
Final Fantasy IV,PC
Marvel vs. Capcom 2,PlayStation 3
Marvel vs. Capcom 2,PlayStation 2
Marvel vs. Capcom 2,Xbox 360
Steins;Gate Elite,Switch
Steins;Gate Elite,PlayStation 4
Darkest Dungeon,Switch
Darkest Dungeon,PC
Darkest Dungeon,PlayStation 4
Darkest Dungeon,PlayStation Vita
Darkest Dungeon,Xbox One
Mutant Mudds Collection,Switch
NeuroVoider,Switch
NeuroVoider,PlayStation 4
NeuroVoider,PlayStation Vita
NeuroVoider,Xbox One
Mortal Kombat,PlayStation Vita
Mortal Kombat,Xbox 360
Total War: Three Kingdoms,PC
The Last Door: Season 2,PC
F.E.A.R.,Xbox 360
F.E.A.R.,PlayStation 3
Thronebreaker: The Witcher Tales,PC
Thronebreaker: The Witcher Tales,PlayStation 4
Thronebreaker: The Witcher Tales,Switch
Thronebreaker: The Witcher Tales,Xbox One
Brothers in Arms: Earned in Blood,Xbox
Far Cry 4,PlayStation 4
Far Cry 4,PlayStation 3
Far Cry 4,Xbox 360
Far Cry 4,Xbox One
Tetris,PSP
Final Fantasy XI,PC
Final Fantasy XI,Xbox 360
Trine 2,Xbox 360
Trine 2,PlayStation 3
Need for Speed Underground,PlayStation 2
Serious Sam: The Second Encounter,PC
The Sims: Hot Date,PC
American McGee's Alice,PC
Turok: Dinosaur Hunter,Nintendo 64
Castlevania: Order of Ecclesia,DS
Batman: Arkham City - Armored Edition,Wii U
Borderlands: The Secret Armory of General Knoxx,PlayStation 3
Borderlands: The Secret Armory of General Knoxx,Xbox 360
PlayerUnknown's Battlegrounds,Xbox One
PlayerUnknown's Battlegrounds,PC
PlayerUnknown's Battlegrounds,PlayStation 4
PlayerUnknown's Battlegrounds,Stadia
Chime Sharp,PC
Chime Sharp,Switch
Chime Sharp,Xbox One
Shantae and the Pirate's Curse,Wii U
Shantae and the Pirate's Curse,PC
Shantae and the Pirate's Curse,PlayStation 4
Shantae and the Pirate's Curse,Switch
Shantae and the Pirate's Curse,Xbox One
Trials Evolution: Gold Edition,PC
Prince of Persia,PlayStation 3
Prince of Persia,PC
Prince of Persia,Xbox 360
Moss,PlayStation 4
Bionic Commando Rearmed,Xbox 360
Bionic Commando Rearmed,PlayStation 3
Sid Meier's Civilization Revolution,PlayStation 3
Sid Meier's Civilization Revolution,Xbox 360
ESPN NBA 2K5,Xbox
The Walking Dead: The Telltale Definitive Series,Xbox One
The Walking Dead: The Telltale Definitive Series,PlayStation 4
Monster Boy and the Cursed Kingdom,Xbox One
Monster Boy and the Cursed Kingdom,PlayStation 4
Monster Boy and the Cursed Kingdom,Stadia
Monster Boy and the Cursed Kingdom,Switch
"Warhammer 40,000: Dawn of War - Winter Assault",PC
Silent Hill 3,PlayStation 2
Terraria,PlayStation Vita
Terraria,iPhone/iPad
Terraria,iPhone/iPad
Terraria,PC
Terraria,PlayStation 3
Terraria,PlayStation 4
Terraria,Switch
Terraria,Wii U
Terraria,Xbox 360
Terraria,Xbox One
Outer Wilds,PC
Outer Wilds,Xbox One
Trials Rising,Xbox One
Trials Rising,PlayStation 4
Trials Rising,Stadia
Trials Rising,Switch
Tomb Raider: Definitive Edition,PlayStation 4
Tomb Raider: Definitive Edition,Xbox One
Starcraft Remastered,PC
DmC: Devil May Cry,PlayStation 3
DmC: Devil May Cry,Xbox 360
NBA 2K18,Xbox One
NBA 2K18,PC
NBA 2K18,PlayStation 3
NBA 2K18,PlayStation 4
NBA 2K18,Switch
NBA 2K18,Xbox 360
Shadow Tactics: Blades of the Shogun,PlayStation 4
Shadow Tactics: Blades of the Shogun,Xbox One
Starcraft Remastered,PC
DmC: Devil May Cry,PlayStation 3
DmC: Devil May Cry,Xbox 360
NBA 2K18,Xbox One
NBA 2K18,PC
NBA 2K18,PlayStation 3
NBA 2K18,PlayStation 4
NBA 2K18,Switch
NBA 2K18,Xbox 360
Shadow Tactics: Blades of the Shogun,PlayStation 4
Shadow Tactics: Blades of the Shogun,Xbox One
Planescape: Torment - Enhanced Edition,PC
Planescape: Torment - Enhanced Edition,Xbox One
Super Meat Boy,PlayStation 4
Super Meat Boy,PlayStation Vita
Super Meat Boy,Switch
Super Meat Boy,Wii U
Super Meat Boy,Xbox 360
Pyre,PlayStation 4
Tony Hawk's Underground 2,PC
FIFA 17,PlayStation 4
FIFA 17,PlayStation 3
FIFA 17,Xbox 360
FIFA 17,Xbox One
Outer Wilds,Xbox One
Outer Wilds,PlayStation 4
Trine 2,PlayStation 3
Trine 2,Xbox 360
inFamous,PlayStation 3
Desperados III,Xbox One
Desperados III,PlayStation 4
Final Fantasy X / X-2 HD Remaster,Switch
Final Fantasy X / X-2 HD Remaster,PlayStation 3
Final Fantasy X / X-2 HD Remaster,PlayStation 4
Final Fantasy X / X-2 HD Remaster,PlayStation Vita
Final Fantasy X / X-2 HD Remaster,Xbox One
"Papers, Please",PC
"Papers, Please",PlayStation Vita
DOOM,PC
DOOM,Switch
DOOM,Xbox One
DiRT 4,PlayStation 4
DiRT 4,Xbox One
Space Invaders Extreme,DS
Space Invaders Extreme,Xbox 360
Tiger Woods PGA Tour 12: The Masters,Wii
Tiger Woods PGA Tour 12: The Masters,PlayStation 3
Tiger Woods PGA Tour 12: The Masters,Xbox 360
Radiant Historia: Perfect Chronology,3DS
Star Wars: The Old Republic,PC
Skate,PlayStation 3
Mario + Rabbids: Kingdom Battle,Switch
Far Cry 2,Xbox 360
Far Cry 2,PlayStation 3
Disgaea 4 Complete+,Switch
Disgaea 4 Complete+,PlayStation 4
428: Shibuya Scramble,PlayStation 4
Enter The Gungeon,Xbox One
Enter The Gungeon,PlayStation 4
Enter The Gungeon,Switch
Gone Home: Console Edition,PlayStation 4
Gone Home: Console Edition,PC
Gone Home: Console Edition,Switch
Gone Home: Console Edition,Xbox One
Ratchet & Clank: Size Matters,PSP
FIFA 07 Soccer,Xbox
Fight Night 2004,PlayStation 2
Anarchy Online: Shadowlands,PC
Dark Age of Camelot: Shrouded Isles,PC
NASCAR: Dirt to Daytona,GameCube
Dave Mirra Freestyle BMX 2,Game Boy Advance
NFL Blitz 2000,Nintendo 64
Obsidian,PC
Battlefield: Bad Company,PlayStation 3
Mario Golf: Advance Tour,Game Boy Advance
Call of Duty: World at War,Xbox 360
Call of Duty: World at War,PlayStation 3
DiRT Rally 2.0,PC
DiRT Rally 2.0,Xbox One
The Walking Dead: Episode 2 - Starved for Help,PC
The Walking Dead: Episode 2 - Starved for Help,Xbox 360
Saints Row: The Third,PC
Saints Row: The Third,Xbox 360
Bomberman Live,Xbox 360
Ni no Kuni II: Revenant Kingdom,PlayStation 4
Project CARS 2,Xbox One
Project CARS 2,PlayStation 4
Statik,PlayStation 4
Fallout: New Vegas,PC
Fallout: New Vegas,Xbox 360
Keep Talking and Nobody Explodes,Switch
Keep Talking and Nobody Explodes,PlayStation 4
Keep Talking and Nobody Explodes,Xbox One
Shantae: Half-Genie Hero - Ultimate Edition,Switch
Shantae: Half-Genie Hero - Ultimate Edition,PlayStation 4
Shantae: Half-Genie Hero - Ultimate Edition,Xbox One
Valkyria Chronicles Remastered,PlayStation 4
Crash Team Racing: Nitro-Fueled,Xbox One
Crash Team Racing: Nitro-Fueled,Switch
F1 2018,PlayStation 4
F1 2018,Xbox One
Peggle: Dual Shot,DS
Disgaea: Hour of Darkness,PlayStation 2
Kingdom Hearts HD I.5 + II.5 Remix,PlayStation 4
Tiger Woods PGA Tour 11,Wii
Tiger Woods PGA Tour 11,PlayStation 3
Tiger Woods PGA Tour 11,Xbox 360
The Movies,PC
Persona 4 Arena Ultimax,PlayStation 3
Crysis 2,Xbox 360
Crysis 2,PlayStation 3
Virtua Tennis: World Tour,PSP
Rare Replay,Xbox One
Lonely Mountains: Downhill,Switch
Lonely Mountains: Downhill,PlayStation 4
Lonely Mountains: Downhill,Xbox One
Mercenaries,PlayStation 2
Neverwinter Nights: Hordes of the Underdark,PC
Max Payne 2: The Fall of Max Payne,Xbox
Max Payne 2: The Fall of Max Payne,PlayStation 2
